Retorno,Varianza,Desviacion,Sharpe,COPEC,CTC-A,CAP,COLBUN,ENDESA,ENTEL
0.0003356420291015971,0.00033094722047121323,0.018191954828198457,0.018450025424498903,0.25031628409894496,0.7205197850500427,0.0,0.0,0.027727674116551353,0.0014362567344611318
-6.891851515544149e-05,0.0001901302880577582,0.013788773986753072,-0.0049981612013984544,0.0964862154419099,0.11799233304508527,0.2616262496794883,0.21320204965564574,0.1414877893610869,0.16920536281678392
0.00017209899136206119,0.0002297632370242374,0.015157943034074162,0.0113537167262862,0.26596389196390846,0.37441574813081574,0.017628025676110815,0.10977127287918392,0.09028914154520112,0.14193191980478004
0.00019192300521313687,0.0002369393629004091,0.01539283479091519,0.012468333989162887,0.2618437878127395,0.41057177640088866,0.0030722258332735422,0.1026323921978898,0.08601853559948071,0.13586128215572787
0.0002428412244393707,0.00025446908453423823,0.01595208715291633,0.015223163095305366,0.23717925178895494,0.461972446847632,0.014816927331057366,0.0,0.0677083193069572,0.21832305472539845
2.061146982539509e-05,0.0001959642979976098,0.013998724870416226,0.0014723819502270314,0.19928217954529104,0.18240773211078878,0.18210098248033835,0.15397047600820304,0.11344946943559076,0.16878916041978795
8.287675413002778e-05,0.00020550596557156992,0.014335479258523933,0.005781233583854473,0.20714049520131167,0.25771183383191676,0.1151693621668827,0.11823940438055332,0.12076063504157535,0.18097826937776015
0.00024516804704358044,0.00026348461644954703,0.016232209228861826,0.01510380032606142,0.303348294852433,0.49782767555196616,0.06490441961871839,0.0018600181755458664,0.039232551765289746,0.09282704003604669
-1.3507513522158208e-05,0.0001929348939129065,0.013890100572454704,-0.000972456135338919,0.11183117174856075,0.16674224025850495,0.21114693477065,0.15570997244103663,0.1554236966935593,0.19914598408768822
0.00012190861227828859,0.00021758757523299027,0.014750849983407406,0.00826451441207919,0.3026455628827424,0.22797254132795916,0.08628632943873572,0.1033254139111917,0.014847586733131432,0.2649225657062394
0.0001569396797429286,0.00022492798577948916,0.014997599333876378,0.010464320072108829,0.31057885591674206,0.2891150543500117,0.07677255307548968,0.047952077346004415,0.05960955766035779,0.21597190165139435
4.10668235961988e-05,0.00019889483509150818,0.014103008015721617,0.002911919467848186,0.21304742115019026,0.20734917761249008,0.15549578963261065,0.14808180910941204,0.11986634243973213,0.15615946005556477
0.00032051856043652027,0.00031558950600313275,0.01776483903679211,0.01804230028612733,0.28041132129415924,0.6670391230074477,0.0,0.0003174432356765377,0.03756840082786436,0.014663711634852082
5.921496344921654e-05,0.0002013062580456666,0.014188243656128358,0.004173523156521188,0.21833555667801613,0.2208009649308478,0.12802891414313416,0.14418589879722277,0.11428337248820568,0.17436529296257355
0.000278479344692979,0.0002804103145171333,0.01674545653355361,0.016630143474140442,0.32425776195650446,0.5422920307658742,0.0,0.016423155093766375,0.05196620898401242,0.06506084319984255
0.0002319915586236225,0.00024949812308074624,0.01579550958597874,0.014687184187432315,0.24129902426487437,0.44089406388760394,0.015057702458588064,0.010909919454028364,0.0711885629659005,0.22065072696900478
0.0001417432154991027,0.000221126820812515,0.014870333581077292,0.009531945919456233,0.30181061147155214,0.2764578624913368,0.10206456585853844,0.04985042326327819,0.05803108605996236,0.21178545085533187
0.00028637705752047134,0.0002865297619459915,0.016927190019196674,0.016918168768454703,0.3218134115449497,0.5620192515018185,0.012245932057452476,0.0,0.04755843130794129,0.05636297358783806
0.00021607968228778594,0.0002469829924047119,0.01571569255250025,0.013749294316234843,0.2833613540810844,0.4390829419543885,0.00012794388365447763,0.06956042367992381,0.08748598577403095,0.1203813506269177
0.00014310846922974864,0.00022148725751472073,0.014882447967814997,0.009615922698956324,0.30377545488605306,0.2775831200413104,0.10156513517118439,0.050178861644196736,0.0542499538899065,0.21264747436734902
0.00029532385672935825,0.00029502688575080033,0.017176346693950968,0.017193636224946664,0.33649576022386335,0.5824391767701933,0.014373040478006537,0.0,0.0365412806644175,0.03015074186351927
0.00023547386888434432,0.0002507818897992785,0.01583609452482772,0.014869440727015742,0.24187150668909282,0.44496506904696387,0.009124612878342379,0.011267015137230902,0.07135745797584721,0.22141433827252285
