Lambda,Sharpe,Retorno,Varianza,Desviacion,COPEC,CTC-A,CAP,COLBUN,ENDESA,ENTEL
0.0,0.016687699040885604,0.00030348491782534537,0.0003307358772657772,0.01818614520083289,0.0,0.7634904656766197,0.0,0.0,0.12781110938820284,0.1086984249351774
0.1,0.01855960685541394,0.00034187847707622054,0.00033931727967369415,0.01842056675766775,0.22302453993283727,0.7576660101568599,0.01930944991030289,0.0,0.0,0.0
0.2,0.013069515477322304,0.00020319476116122234,0.00024171635602576586,0.015547229850547841,0.2351191467643118,0.4009848327529662,0.0,0.03174298154036836,0.14275135177879364,0.18940168716355998
0.3,0.014255085950881947,0.00023108064216564,0.0002627770610355711,0.01621039978025129,0.054513812458587114,0.5763978641491252,0.0,0.0949686337975768,0.056010087409385505,0.21810960218532557
0.4,0.01623848138240911,0.0002740876931941423,0.00028489724398175336,0.016878899371160234,0.34855960421899734,0.5557421121168193,0.03519273540219037,0.03003005504450441,0.010011928925077442,0.020463564292411068
0.5,0.013512880662286912,0.00022073537250032318,0.00026683818919689777,0.01633518255780748,0.1469990235117941,0.584592494903022,0.07447043577225866,0.06727535706756382,0.06994734163592567,0.0567153471094358
0.6,0.014607209149223328,0.00023017726495696024,0.0002483077961613102,0.015757785255590653,0.20589920556644353,0.4681063546889996,0.0,0.054516266679326,0.050641903341200584,0.22083626972403023
0.7,0.012734862525213969,0.0001948060193952628,0.00023400019660762422,0.015297064967098237,0.2903987662992158,0.36600190094976076,0.0,0.11588007241996595,0.0,0.22771926033105752
0.8,0.008505469629514211,0.0001243513529150265,0.00021374916800292334,0.014620163063486102,0.2213607726846127,0.29671394998806433,0.08725711563524047,0.10784822514677973,0.05456868769990792,0.23225124884539497
0.9,0.0009563395538311722,1.3345730135888381e-05,0.00019474236535131943,0.01395501219459587,0.1487976499871848,0.20068524726906523,0.18376837872850715,0.16253419877352338,0.13234631009103967,0.17186821515067977
1.0,-0.003917206468688455,-5.406285286144882e-05,0.00019047807474462027,0.01380137945078753,0.1081479796025518,0.1419333731479331,0.2546662261896911,0.21808631760523162,0.11359185800109746,0.16357424545349486
