Algoritmo,Hipervolumen,Punto_Ref_f1 (Riesgo),Punto_Ref_f2 (RetNeg)
NSGA-II,3.237502612140328e-07,0.00042903708338977827,0.00109113482759784
ABC,3.1978052334517123e-07,0.00042903708338977827,0.00109113482759784
